"CustomerID","EmployeeID","OrderDate","RequiredDate","ShippedDate","ShipVia","Freight","ShipName","ShipAddress","ShipCity","ShipRegion","ShipPostalCode","ShipCountry"
"GOURL","6.00","1/23/1997","2/6/1997","2/24/1997","3.00","24.50","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brazil"
"MEREP","7.00","1/23/1997","2/20/1997","1/27/1997","2.00","370.61","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"LAMAI","6.00","1/24/1997","2/21/1997","2/14/1997","2.00","7.93","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"GALED","4.00","1/27/1997","2/24/1997","2/6/1997","1.00","18.69","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Spain"
"PICCO","4.00","1/27/1997","2/24/1997","3/3/1997","2.00","31.29","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"REGGC","7.00","1/28/1997","2/25/1997","2/4/1997","1.00","11.09","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"HUNGO","3.00","1/29/1997","3/12/1997","2/7/1997","2.00","56.63","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"ERNSH","4.00","1/30/1997","2/13/1997","2/3/1997","1.00","458.78","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"BOTTM","4.00","1/30/1997","2/13/1997","2/7/1997","2.00","44.17","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"SPLIR","3.00","1/31/1997","2/14/1997","2/7/1997","2.00","4.34","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"PRINI","3.00","2/3/1997","3/3/1997","3/4/1997","3.00","73.83","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"FOLKO","3.00","2/3/1997","3/3/1997","2/13/1997","2.00","17.92","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"CONSH","8.00","2/4/1997","3/18/1997","2/7/1997","2.00","9.21","Consolidated Holdings","Berkeley Gardens 12  Brewery","London","","WX1 6LT","UK"
"BLONP","3.00","2/5/1997","3/5/1997","2/11/1997","2.00","156.66","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"WARTH","8.00","2/5/1997","3/5/1997","2/12/1997","1.00","19.97","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"TOMSP","3.00","2/6/1997","3/6/1997","2/14/1997","2.00","8.24","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Germany"
"MEREP","6.00","2/7/1997","3/7/1997","2/10/1997","3.00","4.07","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"SAVEA","4.00","2/10/1997","3/10/1997","2/28/1997","2.00","86.53","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"OLDWO","3.00","2/10/1997","3/24/1997","3/14/1997","2.00","73.02","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"ERNSH","3.00","2/11/1997","3/11/1997","2/18/1997","2.00","47.94","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"REGGC","8.00","2/12/1997","3/12/1997","2/14/1997","1.00","13.95","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"BERGS","3.00","2/12/1997","3/12/1997","2/21/1997","3.00","3.50","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"BERGS","3.00","2/13/1997","3/13/1997","2/20/1997","1.00","9.30","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"TOMSP","6.00","2/14/1997","3/14/1997","2/19/1997","1.00","14.68","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Germany"
"RICAR","4.00","2/14/1997","3/14/1997","3/7/1997","2.00","68.66","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"RANCH","4.00","2/17/1997","3/17/1997","2/24/1997","2.00","38.82","Rancho grande","Av. del Libertador 900","Buenos Aires","","1010","Argentina"
"BLONP","3.00","2/18/1997","3/18/1997","2/27/1997","2.00","53.30","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"VICTE","8.00","2/19/1997","3/19/1997","3/11/1997","2.00","7.23","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"QUICK","4.00","2/19/1997","3/5/1997","3/12/1997","3.00","189.09","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"SAVEA","8.00","2/20/1997","3/20/1997","2/26/1997","1.00","140.26","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"AROUT","1.00","2/21/1997","3/21/1997","2/26/1997","2.00","25.36","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"LAMAI","4.00","2/21/1997","3/21/1997","2/25/1997","3.00","2.74","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"WARTH","8.00","2/24/1997","4/7/1997","3/3/1997","2.00","180.45","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"KOENE","8.00","2/25/1997","4/8/1997","2/28/1997","2.00","8.12","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"KOENE","2.00","2/25/1997","3/25/1997","3/3/1997","1.00","11.57","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"SUPRD","7.00","2/26/1997","3/26/1997","3/4/1997","3.00","147.06","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
"VICTE","4.00","2/27/1997","3/27/1997","2/28/1997","2.00","25.09","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"FOLKO","8.00","2/28/1997","3/28/1997","3/3/1997","1.00","16.27","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"LILAS","1.00","2/28/1997","3/28/1997","3/5/1997","3.00","148.61","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"CONSH","2.00","3/3/1997","3/31/1997","3/18/1997","1.00","6.17","Consolidated Holdings","Berkeley Gardens 12  Brewery","London","","WX1 6LT","UK"
"SUPRD","5.00","3/4/1997","4/1/1997","3/6/1997","3.00","14.78","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
"FURIB","4.00","3/4/1997","4/1/1997","3/14/1997","2.00","89.00","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"VAFFE","1.00","3/5/1997","4/2/1997","3/14/1997","3.00","145.04","Vaffeljernet","Smagsloget 45","Århus","","8200","Denmark"
"COMMI","4.00","3/6/1997","4/3/1997","3/13/1997","1.00","11.93","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil"
"MAGAA","8.00","3/6/1997","4/3/1997","3/11/1997","2.00","4.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy"
"KOENE","3.00","3/7/1997","4/4/1997","3/12/1997","3.00","44.12","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"WHITC","1.00","3/10/1997","4/7/1997","3/14/1997","1.00","60.18","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"BONAP","4.00","3/11/1997","4/8/1997","3/14/1997","2.00","64.56","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"BSBEV","2.00","3/11/1997","4/8/1997","3/18/1997","3.00","45.59","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
"SEVES","8.00","3/12/1997","4/9/1997","3/19/1997","1.00","4.20","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"ISLAT","1.00","3/13/1997","3/27/1997","3/21/1997","3.00","16.37","Island Trading","Garden House Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"PERIC","5.00","3/13/1997","4/10/1997","3/21/1997","2.00","83.49","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico"
"SUPRD","9.00","3/14/1997","4/11/1997","4/4/1997","1.00","68.52","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
"HILAA","8.00","3/17/1997","4/14/1997","3/24/1997","3.00","4.41","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"PRINI","5.00","3/17/1997","4/14/1997","3/25/1997","2.00","13.02","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"VICTE","2.00","3/18/1997","4/1/1997","3/26/1997","3.00","4.81","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"RATTC","3.00","3/19/1997","4/16/1997","3/21/1997","3.00","708.95","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"FOLIG","6.00","3/20/1997","4/17/1997","3/24/1997","2.00","1.35","Folies gourmandes","184, chaussée de Tournai","Lille","","59000","France"
"RICAR","8.00","3/20/1997","4/17/1997","3/25/1997","2.00","64.33","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"LAZYK","1.00","3/21/1997","4/18/1997","4/10/1997","3.00","7.48","Lazy K Kountry Store","12 Orchestra Terrace","Walla Walla","WA","99362","USA"
"WHITC","7.00","3/24/1997","4/21/1997","4/25/1997","2.00","15.28","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"BSBEV","3.00","3/24/1997","4/21/1997","4/1/1997","3.00","6.88","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
"LINOD","4.00","3/25/1997","4/8/1997","3/31/1997","2.00","64.45","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"HILAA","1.00","3/26/1997","4/23/1997","4/2/1997","2.00","30.53","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"QUEEN","2.00","3/26/1997","4/23/1997","3/28/1997","2.00","71.07","Queen Cozinha","Alameda dos Canàrios, 891","Sao Paulo","SP","05487-020","Brazil"
"FRANK","8.00","3/27/1997","4/24/1997","4/2/1997","2.00","4.93","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"PICCO","6.00","3/28/1997","4/25/1997","4/9/1997","2.00","5.29","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"HILAA","7.00","3/31/1997","4/28/1997","4/3/1997","2.00","210.19","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"FURIB","8.00","3/31/1997","4/28/1997","4/8/1997","3.00","16.96","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"BOTTM","3.00","4/1/1997","4/29/1997","4/11/1997","1.00","62.89","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"LAMAI","4.00","4/2/1997","4/30/1997","4/10/1997","3.00","10.64","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"COMMI","4.00","4/2/1997","4/30/1997","4/9/1997","2.00","65.99","Comércio Mineiro","Av. dos Lusíadas, 23","Sao Paulo","SP","05432-043","Brazil"
"LAUGB","3.00","4/3/1997","5/1/1997","4/11/1997","3.00","4.65","Laughing Bacchus Wine Cellars","2319 Elm St.","Vancouver","BC","V3F 2K1","Canada"
"TRADH","7.00","4/4/1997","5/2/1997","4/7/1997","2.00","46.77","Tradiçao Hipermercados","Av. Inês de Castro, 414","Sao Paulo","SP","05634-030","Brazil"
"LEHMS","7.00","4/4/1997","5/2/1997","4/7/1997","1.00","36.21","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"HILAA","8.00","4/7/1997","5/5/1997","4/11/1997","2.00","29.75","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"LILAS","4.00","4/8/1997","5/6/1997","4/16/1997","2.00","102.02","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"LAMAI","6.00","4/9/1997","5/7/1997","4/17/1997","1.00","42.68","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"BLAUS","9.00","4/9/1997","5/7/1997","4/16/1997","3.00","8.85","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Germany"
"PERIC","2.00","4/10/1997","5/8/1997","4/29/1997","1.00","69.32","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico"
"HUNGO","6.00","4/11/1997","5/9/1997","4/16/1997","2.00","16.74","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"WHITC","4.00","4/11/1997","5/9/1997","4/18/1997","3.00","59.13","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"MEREP","3.00","4/14/1997","5/12/1997","4/21/1997","3.00","7.13","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"KOENE","9.00","4/15/1997","5/13/1997","5/2/1997","2.00","21.19","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"ANTON","7.00","4/15/1997","5/13/1997","4/22/1997","1.00","47.45","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","05023","Mexico"
"OTTIK","1.00","4/16/1997","5/14/1997","5/13/1997","2.00","4.99","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Germany"
"BLAUS","4.00","4/17/1997","5/15/1997","4/29/1997","1.00","0.15","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Germany"
"SAVEA","6.00","4/18/1997","5/16/1997","4/28/1997","3.00","367.63","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"BONAP","4.00","4/18/1997","5/16/1997","4/21/1997","3.00","350.64","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"FAMIA","7.00","4/21/1997","5/19/1997","4/24/1997","2.00","3.53","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil"
"WANDK","7.00","4/22/1997","6/3/1997","4/28/1997","1.00","105.65","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"ERNSH","3.00","4/22/1997","5/20/1997","5/16/1997","2.00","789.95","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"QUICK","2.00","4/23/1997","5/7/1997","5/23/1997","1.00","204.47","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"HUNGO","2.00","4/24/1997","5/22/1997","5/1/1997","3.00","62.78","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"NORTS","3.00","4/24/1997","5/22/1997","4/29/1997","3.00","32.07","North/South","South House 300 Queensbridge","London","","SW7 1RZ","UK"
"TORTU","4.00","4/25/1997","5/9/1997","5/5/1997","2.00","218.15","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"CHOPS","6.00","4/28/1997","5/26/1997","5/1/1997","3.00","91.76","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland"
"SANTG","7.00","4/29/1997","5/27/1997","5/1/1997","1.00","13.37","Santé Gourmet","Erling Skakkes gate 78","Stavern","","4110","Norway"
"CACTU","8.00","4/29/1997","5/27/1997","5/2/1997","2.00","17.22","Cactus Comidas para llevar","Cerrito 333","Buenos Aires","","1010","Argentina"
"LEHMS","4.00","4/30/1997","5/28/1997","5/6/1997","1.00","45.33","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"SEVES","7.00","5/1/1997","5/29/1997","5/30/1997","2.00","77.63","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"BERGS","1.00","5/1/1997","5/29/1997","5/7/1997","2.00","244.79","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"BONAP","1.00","5/2/1997","5/30/1997","5/23/1997","2.00","11.06","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"WARTH","4.00","5/5/1997","6/2/1997","5/15/1997","2.00","58.59","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"QUICK","7.00","5/5/1997","6/2/1997","5/7/1997","1.00","41.90","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"GREAL","6.00","5/6/1997","5/20/1997","5/9/1997","2.00","3.35","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","USA"
"MAISD","5.00","5/7/1997","6/4/1997","5/9/1997","2.00","66.69","Maison Dewey","Rue Joseph-Bens 532","Bruxelles","","B-1180","Belgium"
"PICCO","3.00","5/8/1997","6/5/1997","5/12/1997","2.00","339.22","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"OCEAN","7.00","5/8/1997","6/5/1997","5/19/1997","1.00","8.12","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585 Piso 20-A","Buenos Aires","","1010","Argentina"
"EASTC","7.00","5/9/1997","6/6/1997","5/12/1997","3.00","74.46","Eastern Connection","35 King George","London","","WX3 6FW","UK"
"FOLKO","8.00","5/12/1997","6/9/1997","5/22/1997","1.00","188.04","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"LEHMS","8.00","5/12/1997","6/9/1997","5/14/1997","2.00","27.94","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"ANTON","4.00","5/13/1997","6/10/1997","5/21/1997","1.00","15.64","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","05023","Mexico"
"LEHMS","3.00","5/14/1997","6/11/1997","6/6/1997","2.00","58.88","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"RICSU","1.00","5/14/1997","5/28/1997","5/19/1997","1.00","78.85","Richter Supermarkt","Starenweg 5","Genève","","1204","Switzerland"
"BSBEV","9.00","5/15/1997","6/12/1997","5/16/1997","3.00","4.87","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
"BSBEV","6.00","5/16/1997","6/13/1997","5/23/1997","3.00","12.36","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
"QUICK","3.00","5/19/1997","6/16/1997","6/13/1997","3.00","1,007.64","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"HANAR","2.00","5/19/1997","6/16/1997","5/29/1997","1.00","68.65","Hanari Carnes","Rua do Paço, 67","Rio de Janeiro","RJ","05454-876","Brazil"
"KOENE","1.00","5/20/1997","6/17/1997","5/26/1997","3.00","10.95","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"LILAS","8.00","5/21/1997","6/18/1997","5/23/1997","2.00","48.17","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"LONEP","4.00","5/21/1997","6/18/1997","5/30/1997","1.00","24.91","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"LAZYK","8.00","5/22/1997","6/19/1997","6/26/1997","2.00","11.92","Lazy K Kountry Store","12 Orchestra Terrace","Walla Walla","WA","99362","USA"
"VICTE","1.00","5/23/1997","6/20/1997","5/27/1997","3.00","194.72","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"SEVES","3.00","5/23/1997","6/20/1997","6/2/1997","2.00","178.43","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"TOMSP","3.00","5/26/1997","6/23/1997","6/2/1997","2.00","1.43","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Germany"
"QUICK","5.00","5/27/1997","6/10/1997","5/30/1997","1.00","171.24","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"GODOS","7.00","5/28/1997","6/25/1997","6/6/1997","3.00","4.32","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Spain"
"FURIB","4.00","5/28/1997","7/9/1997","6/6/1997","3.00","72.95","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"HILAA","2.00","5/29/1997","6/26/1997","6/5/1997","1.00","83.22","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"WARTH","2.00","5/30/1997","6/27/1997","6/3/1997","2.00","149.49","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"OTTIK","4.00","5/30/1997","6/27/1997","6/5/1997","3.00","120.97","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Germany"
"SAVEA","6.00","6/2/1997","6/30/1997","6/4/1997","3.00","252.49","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"SIMOB","2.00","6/3/1997","7/15/1997","6/13/1997","1.00","9.80","Simons bistro","Vinbæltet 34","Kobenhavn","","1734","Denmark"
"LEHMS","9.00","6/3/1997","6/17/1997","6/6/1997","2.00","96.72","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"AROUT","1.00","6/4/1997","7/2/1997","6/10/1997","2.00","72.97","Around the Horn","Brook Farm Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"BLONP","6.00","6/5/1997","7/3/1997","6/13/1997","1.00","8.05","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"FRANK","8.00","6/6/1997","7/4/1997","6/9/1997","1.00","36.65","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"FOLKO","2.00","6/6/1997","7/4/1997","6/9/1997","2.00","242.21","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"REGGC","1.00","6/9/1997","7/7/1997","6/12/1997","1.00","22.95","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"RICAR","2.00","6/10/1997","7/22/1997","6/24/1997","2.00","60.43","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"RATTC","4.00","6/10/1997","7/8/1997","6/16/1997","3.00","13.75","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"MEREP","8.00","6/11/1997","7/9/1997","6/18/1997","2.00","7.15","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"BLONP","9.00","6/12/1997","7/10/1997","6/18/1997","1.00","88.40","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"HUNGO","1.00","6/12/1997","7/10/1997","6/17/1997","1.00","33.97","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"GALED","3.00","6/13/1997","7/11/1997","7/9/1997","3.00","6.54","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Spain"
"RATTC","5.00","6/16/1997","7/14/1997","7/11/1997","1.00","58.98","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"MEREP","3.00","6/17/1997","7/15/1997","6/19/1997","3.00","188.99","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"ERNSH","8.00","6/17/1997","7/29/1997","7/4/1997","3.00","26.06","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"BERGS","3.00","6/18/1997","7/16/1997","6/25/1997","2.00","116.43","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"ANTON","7.00","6/19/1997","7/17/1997","6/20/1997","3.00","84.84","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","05023","Mexico"
"TRAIH","4.00","6/19/1997","7/17/1997","6/30/1997","2.00","37.60","Trail's Head Gourmet Provisioners","722 DaVinci Blvd.","Kirkland","WA","98034","USA"
"MORGK","5.00","6/20/1997","7/4/1997","6/30/1997","1.00","127.34","Morgenstern Gesundkost","Heerstr. 22","Leipzig","","04179","Germany"
"TORTU","3.00","6/23/1997","7/7/1997","6/30/1997","3.00","18.56","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"TRAIH","9.00","6/23/1997","8/4/1997","6/30/1997","2.00","25.41","Trail's Head Gourmet Provisioners","722 DaVinci Blvd.","Kirkland","WA","98034","USA"
"BSBEV","4.00","6/24/1997","7/22/1997","7/25/1997","3.00","29.60","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
"LETSS","1.00","6/25/1997","7/23/1997","7/4/1997","2.00","13.73","Let's Stop N Shop","87 Polk St. Suite 5","San Francisco","CA","94117","USA"
"OTTIK","4.00","6/26/1997","7/24/1997","7/1/1997","3.00","75.89","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Germany"
"FAMIA","3.00","6/26/1997","7/24/1997","7/2/1997","1.00","3.01","Familia Arquibaldo","Rua Orós, 92","Sao Paulo","SP","05442-030","Brazil"
"BLAUS","3.00","6/27/1997","7/25/1997","7/14/1997","2.00","27.71","Blauer See Delikatessen","Forsterstr. 57","Mannheim","","68306","Germany"
"WARTH","2.00","6/30/1997","7/28/1997","7/4/1997","2.00","7.28","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"BLONP","4.00","6/30/1997","7/28/1997","7/4/1997","1.00","59.14","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"WELLI","7.00","7/1/1997","7/29/1997","7/10/1997","1.00","13.41","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil"
"REGGC","9.00","7/2/1997","7/30/1997","7/9/1997","1.00","0.48","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"QUEDE","1.00","7/2/1997","7/30/1997","7/9/1997","1.00","62.52","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"QUICK","2.00","7/3/1997","7/31/1997","7/10/1997","3.00","194.67","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"GREAL","8.00","7/4/1997","8/1/1997","7/14/1997","2.00","4.42","Great Lakes Food Market","2732 Baker Blvd.","Eugene","OR","97403","USA"
"MEREP","4.00","7/7/1997","8/4/1997","7/14/1997","3.00","44.77","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"VAFFE","1.00","7/7/1997","7/21/1997","7/16/1997","1.00","55.92","Vaffeljernet","Smagsloget 45","Århus","","8200","Denmark"
"LEHMS","3.00","7/8/1997","8/5/1997","7/16/1997","1.00","32.10","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"LEHMS","7.00","7/9/1997","8/6/1997","8/13/1997","2.00","174.20","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"OLDWO","3.00","7/9/1997","8/6/1997","7/16/1997","2.00","5.24","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"ERNSH","2.00","7/10/1997","8/7/1997","7/14/1997","1.00","96.78","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"WHITC","8.00","7/11/1997","8/8/1997","8/12/1997","1.00","16.34","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"PICCO","7.00","7/11/1997","8/8/1997","7/18/1997","3.00","35.12","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"RATTC","1.00","7/14/1997","8/11/1997","7/18/1997","3.00","44.42","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"BSBEV","6.00","7/15/1997","8/26/1997","7/21/1997","3.00","29.98","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
